date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:15:35	345765/345765	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Nov%202023%2005:19:46%20GMT	https://www.w3schools.com/css/default.asp	C:/Mis%20lugares%20Web/mlknl/www.w3schools.com/css/default.html	(from )
08:15:36	342680/342680	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Nov%202023%2005:20:01%20GMT	https://www.w3schools.com/html/default.asp	C:/Mis%20lugares%20Web/mlknl/www.w3schools.com/html/default.html	(from )
08:15:36	166/166	---M-Z	200	added ('OK')	text/plain	etag:%2209c288bed1dda1:0%22	https://www.w3schools.com/robots.txt		(from )
08:15:36	3065/3065	---M--	200	added ('OK')	image/png	etag:%2209c288bed1dda1:0%22	https://www.w3schools.com/apple-touch-icon.png	C:/Mis%20lugares%20Web/mlknl/www.w3schools.com/apple-touch-icon.png	(from https://www.w3schools.com/css/default.asp)
08:15:37	1408/1408	---M--	200	added ('OK')	image/png	etag:%2209c288bed1dda1:0%22	https://www.w3schools.com/favicon-32x32.png	C:/Mis%20lugares%20Web/mlknl/www.w3schools.com/favicon-32x32.png	(from https://www.w3schools.com/css/default.asp)
08:15:37	912/912	---M--	200	added ('OK')	image/png	etag:%2209c288bed1dda1:0%22	https://www.w3schools.com/favicon-16x16.png	C:/Mis%20lugares%20Web/mlknl/www.w3schools.com/favicon-16x16.png	(from https://www.w3schools.com/css/default.asp)
08:15:38	33950/33950	---M-Z	200	added ('OK')	text/css	etag:%2209c288bed1dda1:0+gzip%22	https://www.w3schools.com/lib/topnav/main.css?v=1.0.28	C:/Mis%20lugares%20Web/mlknl/www.w3schools.com/lib/topnav/main0ca8.css	(from https://www.w3schools.com/css/default.asp)
08:15:38	69168/69168	---M-Z	200	added ('OK')	text/css	etag:%2209c288bed1dda1:0+gzip%22	https://www.w3schools.com/lib/w3schools32.css?v=1.0.1	C:/Mis%20lugares%20Web/mlknl/www.w3schools.com/lib/w3schools32f700.css	(from https://www.w3schools.com/css/default.asp)
08:15:39	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2024%20Nov%202023%2007:15:46%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Mis%20lugares%20Web/mlknl/www.googletagmanager.com/gtm.75445.delayed	(from https://www.w3schools.com/css/default.asp)
08:15:39	70544/70544	---M-Z	200	added ('OK')	application/javascript	etag:%2209c288bed1dda1:0+gzip%22	https://www.w3schools.com/lib/uic.js?v=1.0.5	C:/Mis%20lugares%20Web/mlknl/www.w3schools.com/lib/uic3447.js	(from https://www.w3schools.com/css/default.asp)
08:15:40	9466/9466	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Nov%202023%2007:15:47%20GMT	https://www.w3schools.com/css/python/	C:/Mis%20lugares%20Web/mlknl/www.w3schools.com/css/python/index.html	(from https://www.w3schools.com/css/default.asp)
08:15:40	9466/9466	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Nov%202023%2007:15:47%20GMT	https://www.w3schools.com/css/numpy/	C:/Mis%20lugares%20Web/mlknl/www.w3schools.com/css/numpy/index.html	(from https://www.w3schools.com/css/default.asp)
08:15:40	9466/9466	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Nov%202023%2007:15:47%20GMT	https://www.w3schools.com/css/pandas/	C:/Mis%20lugares%20Web/mlknl/www.w3schools.com/css/pandas/index.html	(from https://www.w3schools.com/css/default.asp)
08:15:40	20920/20920	---MCZ	200	added ('OK')	application/javascript	etag:W/%2251b8-60a5a9c6b12c4%22	https://cdn.snigelweb.com/adengine/w3schools.com/loader.js	C:/Mis%20lugares%20Web/mlknl/cdn.snigelweb.com/adengine/w3schools.com/loader.js	(from https://www.w3schools.com/css/default.asp)
08:15:40	7391/7391	---M-Z	200	added ('OK')	application/javascript	etag:%2209c288bed1dda1:0+gzip%22	https://www.w3schools.com/lib/common-deps.js?v=1.0.3	C:/Mis%20lugares%20Web/mlknl/www.w3schools.com/lib/common-deps2c70.js	(from https://www.w3schools.com/css/default.asp)
08:15:41	9466/9466	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Nov%202023%2007:15:48%20GMT	https://www.w3schools.com/css/scipy/	C:/Mis%20lugares%20Web/mlknl/www.w3schools.com/css/scipy/index.html	(from https://www.w3schools.com/css/default.asp)
08:15:41	55347/55347	---M-Z	200	added ('OK')	application/javascript	etag:%2209c288bed1dda1:0+gzip%22	https://www.w3schools.com/lib/user-session.js?v=1.0.33	C:/Mis%20lugares%20Web/mlknl/www.w3schools.com/lib/user-session8376.js	(from https://www.w3schools.com/css/default.asp)
